"spp";"mass";"rbl";"clade";"TS";"TE"
"63";"Euoplocyon_brachygnathus";1.235;0.703322526999994;"Borophaginae";16.3621621259814;12.5199818600363
"64";"Euoplocyon_spissidens";1.143;0.620000000000004;"Borophaginae";17.7384226988116;17.2925953403326
"65";"Ferrucyon_avius";0.676;0.64432167229926;"Caninae";4.42136908199639;1.90501404511648
"66";"Hesperocyon_coloradensis";0.782;0.653614457999995;"Hesperocyoninae";33.8064722554718;31.7926592565132
"67";"Hesperocyon_gregarius";0.622;0.673142277000008;"Hesperocyoninae";36.9921130348769;29.6168795291835
"68";"Leptocyon_douglassi";0.542;0.697000000000003;"Caninae";29.124342913788;22.9733223914671
"69";"Leptocyon_gregorii";0.574;0.700177631999997;"Caninae";22.9561076936696;18.7564204390663
"70";"Leptocyon_leidyi";0.549;0.66228808000001;"Caninae";21.0323239686175;12.5393386095441
"71";"Leptocyon_matthewi";0.738;0.674999999999995;"Caninae";12.5705228871081;9.38632295034734
"72";"Leptocyon_mollis";0.601;0.650999999999996;"Caninae";27.3405075887254;27.000934648471
"73";"Leptocyon_tejonensis";0.586;0.62900000000001;"Caninae";10.95411117624;10.7116209121233
"74";"Leptocyon_vafer";0.643;0.688529745999983;"Caninae";17.6373219759458;9.42340187212805
"75";"Leptocyon_vulpinus";0.654;0.699363369000015;"Caninae";21.5244466445634;16.1269748498681
"76";"Mesocyon_brachyops";1.09;0.708999999999987;"Hesperocyoninae";28.5106920881157;23.7813280915018
"77";"Mesocyon_coryphaeus";1.202;0.71704180100001;"Hesperocyoninae";27.5358998581516;26.6201416455492
"78";"Mesocyon_temnodon";1.008;0.684419198;"Hesperocyoninae";33.0574159093001;25.6380857148972
"79";"Metalopex_bakeri";0.699;0.534309946000005;"Caninae";7.02202251482208;6.78980683342306
"80";"Metalopex_macconnelli";0.658;0.633041893000003;"Caninae";12.8363716601215;6.50390404673407
"81";"Metalopex_merriami";0.852;0.678072289000013;"Caninae";16.7550889920425;4.78601649684909
