"","Family","Genus","Species","Data_type","Size_sd","Size_Est","P4_sd","P4_Est","m1_sd","m1_Est"
"977","Viverridae","Paradoxurus","hermaphroditus","Measured",0,0.499,0.116,1.016,0.111,1.037
"978","Viverridae","Paradoxurus","jerdoni","Measured",0,0.444,0.116,1.001,0.112,1.022
"979","Viverridae","Paradoxurus","zeylonensis","Measured",0,0.444,0.116,1.001,0.111,1.022
"332","Canidae","Paraenhydrocyon","josephi","Inferred_teeth",0.328,1.066,0,1.122,0,1.163
"389","Canidae","Paraenhydrocyon","robustus","Inferred_teeth",0.35,1.192,0,1.193,0,1.199
"436","Canidae","Paraenhydrocyon","wallovianus","Inferred_teeth",0.351,1.373,0,1.245,0,1.297
"214","Musteloidea_not_assigned_to_family","Paragale","huerzeleri","Inferred_teeth",0.211,0.435,0,1,0,0.978
"632","Hyanidae","Parahyaena","brunnea","Measured",0,1.602,0,1.534,0,1.368
"614","Hyanidae","Parahyaena","howelli","Inferred_teeth",0.203,1.597,0,1.497,0,1.387
"248","Ailuridae","Parailurus","anglicus","Inferred_teeth",0.256,1.012,0,1.039,0.07,1.144
"1187","Ailuridae","Parailurus","baikalicus","Inferred_teeth",0.275,1.193,0.069,1.112,0,1.224
"752","Ailuridae","Parailurus","hungaricus","Inferred_Phylogeny",0.35,0.994,0.108,1.032,0.112,1.137
"753","Ailuridae","Parailurus","NorthAmerica","Inferred_Phylogeny",0.343,1.032,0.107,1.047,0.103,1.154
"310","Mustelidae","Paralutra","garganensis","Inferred_teeth",0.265,0.927,0,1.1,0.058,1.178
"1276","Mustelidae","Paralutra","jaegeri","Inferred_teeth",0.227,0.729,0.049,1.016,0,1.097
"914","Mustelidae","Paralutra","transdanubica","Inferred_Phylogeny",0.353,0.822,0.114,1.054,0.116,1.136
"598","Felidae","Paramachaerodus","maximiliani","Inferred_teeth",0.303,1.855,0,1.462,0,1.332
"584","Felidae","Paramachaerodus","orientalis","Inferred_teeth",0.302,1.85,0,1.447,0,1.342
"1289","Musteloidea_not_assigned_to_family","Paramartes","pococki","Inferred_teeth",0.3,0.569,0.066,1.015,0,1.086
"1576","Miacidae","Paramiacis","exilis","Inferred_teeth",0.373,-0.209,0.057,0.625,0,0.597
"1554","Miacidae","Paramiacis","teilharti","Inferred_teeth",0.372,0.006,0.057,0.712,0,0.69
"1356","Procyonidae","Paranasua","biradica","Inferred_teeth",0.243,0.655,0.053,0.968,0,1.021
"1416","Procyonidae","Parapotos","tedfordi","Inferred_teeth",0.263,0.46,0.06,0.918,0,0.949
"1304","Mustelidae","Parataxidea","crassa","Inferred_teeth",0.309,0.524,0.073,0.955,0,1.072
"1309","Mustelidae","Parataxidea","maraghana","Inferred_teeth",0.294,0.507,0.069,0.948,0,1.064
"1427","Mustelidae","Parataxidea","sinensis","Inferred_teeth",0.296,0.196,0.07,0.823,0,0.929
"439","Canidae","Paratomarctus","euthos","Inferred_teeth",0.379,1.372,0,1.251,0,1.308
"381","Canidae","Paratomarctus","temerarius","Inferred_teeth",0.373,1.222,0,1.181,0,1.252
"1110","Felidae","Pardofelis","marmorata","Measured",0,0.455,0.052,1.394,0,1.362
"1412","Amphicynodontidae","Parictis","dakotensis","Inferred_teeth",0.257,0.641,0.045,0.917,0,0.952
"1438","Amphicynodontidae","Parictis","gilpini","Inferred_teeth",0.254,0.559,0.045,0.884,0,0.916
"1336","Amphicynodontidae","Parictis","major","Inferred_teeth",0.236,0.828,0.039,0.992,0,1.033
"1457","Amphicynodontidae","Parictis","montanus","Inferred_teeth",0.231,0.497,0.037,0.859,0,0.889
"1506","Amphicynodontidae","Parictis","parvus","Inferred_teeth",0.246,0.306,0.043,0.782,0,0.806
"87","Amphicynodontidae","Parictis","personi","Inferred_teeth",0.216,0.47,0,0.845,0,0.881
"1484","Amphicynodontidae","Parictis","primaevus","Inferred_teeth",0.243,0.366,0.041,0.806,0,0.833
"26","Miacidae","Paroodectes","feisti","Inferred_teeth",0.306,0.001,0,0.708,0,0.69
"441","Percrocutidae","Percrocuta","abessalomi","Inferred_teeth",0.301,1.292,0,1.255,0,1.322
"502","Percrocutidae","Percrocuta","carnifex","Inferred_teeth",0.33,1.438,0,1.329,0,1.371
"660","Percrocutidae","Percrocuta","leakeyi","Inferred_teeth",0.321,2.129,0,1.642,0.046,1.64
"1114","Percrocutidae","Percrocuta","miocenica","Inferred_teeth",0.33,1.401,0.05,1.318,0,1.352
"434","Percrocutidae","Percrocuta","tobieni","Inferred_teeth",0.321,1.243,0,1.241,0,1.297
"537","Percrocutidae","Percrocuta","tungurensis","Inferred_teeth",0.307,1.66,0,1.38,0,1.505
"422","Canidae","Philotrox","condoni","Inferred_teeth",0.319,0.875,0,1.228,0,0.907
"85","Canidae","Phlaocyon","achoros","Inferred_teeth",0.331,0.434,0,0.842,0,0.929
"131","Canidae","Phlaocyon","annectens","Inferred_teeth",0.339,0.58,0,0.907,0,0.987
"99","Canidae","Phlaocyon","latidens","Inferred_teeth",0.291,0.435,0,0.86,0,0.914
"162","Canidae","Phlaocyon","leucosteus","Inferred_teeth",0.348,0.623,0,0.942,0,0.989
"461","Canidae","Phlaocyon","mariae","Inferred_teeth",0.354,1.419,0,1.283,0.053,1.316
"210","Canidae","Phlaocyon","marslandensis","Inferred_teeth",0.343,0.761,0,0.998,0,1.049
"143","Canidae","Phlaocyon","minor","Inferred_teeth",0.346,0.574,0,0.921,0,0.969
"201","Canidae","Phlaocyon","multicuspus","Inferred_teeth",0.348,0.747,0,0.987,0.047,1.048
"53","Canidae","Phlaocyon","taylori","Inferred_teeth",0.317,0.243,0,0.785,0,0.826
"1198","Canidae","Phlaocyon","yatkolai","Inferred_teeth",0.353,1.134,0.053,1.151,0,1.21
"1007","Ursidae","Phoberocyon","akhmetievi","Inferred_teeth",0.322,2.153,0.063,1.437,0,1.553
"1011","Ursidae","Phoberocyon","aurelianensis","Inferred_teeth",0.311,2.133,0.06,1.429,0,1.544
"1059","Ursidae","Phoberocyon","hurzeleri","Inferred_teeth",0.304,1.892,0.058,1.332,0,1.439
"1018","Ursidae","Phoberocyon","johnhenryi","Inferred_teeth",0.322,2.086,0.063,1.41,0,1.524
"1016","Ursidae","Phoberocyon","teilhardi","Inferred_teeth",0.357,2.089,0.072,1.411,0,1.525
"1015","Ursidae","Phoberocyon","youngi","Inferred_teeth",0.325,2.098,0.064,1.415,0,1.529
"1144","Ursidae","Phoberogale","bonali","Inferred_teeth",0.275,1.524,0.039,1.178,0,1.283
"1137","Ursidae","Phoberogale","depereti","Inferred_teeth",0.296,1.555,0.047,1.191,0,1.297
