"","Family","Genus","Species","Data_type","Size_sd","Size_Est","P4_sd","P4_Est","m1_sd","m1_Est"
"1076","Canidae","Protocyon","troglodytes","Inferred_teeth",0.267,1.344,0.061,1.343,0,1.408
"397","Canidae","Protomarctus","optatus","Inferred_teeth",0.363,1.24,0,1.2,0,1.249
"1468","Procyonidae","Protoprocyon","savagei","Inferred_teeth",0.212,0.325,0.046,0.832,0,0.875
"784","Canidae","Prototocyon","curvipalatus","Inferred_Phylogeny",0.353,0.554,0.121,1.029,0.128,1.059
"755","Ailuridae","Protursus","simpsoni","Inferred_Phylogeny",0.483,1.284,0.145,1.197,0.143,1.275
"341","Canidae","Psalidocyon","marianae","Inferred_teeth",0.362,1.083,0,1.13,0,1.187
"424","Felidae","Pseudaelurus","cuspidatus","Inferred_teeth",0.248,1.267,0,1.23,0,1.1
"288","Felidae","Pseudaelurus","guangheensis","Inferred_teeth",0.255,0.967,0,1.079,0.046,0.995
"489","Felidae","Pseudaelurus","quadridentatus","Inferred_teeth",0.302,1.53,0,1.316,0,1.261
"425","Felidae","Pseudaelurus","romieviensis","Inferred_teeth",0.239,1.437,0,1.232,0,1.236
"1363","Felidae","Pseudaelurus","transitorius","Inferred_teeth",0.243,1.034,0.045,1.128,0,1.009
"1218","Amphicyonidae","Pseudarctos","bavaricus","Inferred_teeth",0.31,1.555,0.07,1.134,0,1.188
"117","Procyonidae","Pseudobassaris","riggsi","Inferred_teeth",0.227,0.376,0,0.886,0.04,0.908
"1192","Viverridae","Pseudocivetta","ingens","Inferred_teeth",0.344,1.035,0.07,1.19,0,1.217
"1038","Amphicyonidae","Pseudocyon","caucasicus","Inferred_teeth",0.226,2.362,0.047,1.403,0,1.481
"1009","Amphicyonidae","Pseudocyon","NorthAmerica","Inferred_teeth",0.275,2.519,0.06,1.466,0,1.55
"553","Amphicyonidae","Pseudocyon","sansaniensis","Measured",0,2.389,0,1.398,0,1.473
"524","Amphicyonidae","Pseudocyon","steinheimensis","Inferred_teeth",0.252,2.321,0,1.367,0,1.48
"1046","Amphicyonidae","Pseudocyon","styriacus","Inferred_teeth",0.227,2.319,0.048,1.385,0,1.462
"470","Amphicyonidae","Pseudocyonopsis","antiquus","Inferred_teeth",0.206,1.729,0,1.288,0,1.258
"1130","Mustelidae","Pteronura","brasiliensis","Measured",0,1.38,0.06,1.217,0,1.315
"518","Felidae","Puma","concolor","Measured",0,1.713,0,1.358,0,1.23
"1220","Felidae","Puma","lacustris","Inferred_teeth",0.217,1.357,0.049,1.319,0,1.185
"1142","Felidae","Puma","pardoides","Inferred_teeth",0.302,1.447,0.05,1.382,0,1.283
"1366","Miacidae","Quercygale","angustidens","Inferred_teeth",0.325,0.731,0.073,1.025,0,1.004
"1381","Miacidae","Quercygale","hastingsiae","Inferred_teeth",0.346,0.691,0.078,1.008,0,0.987
"1458","Miacidae","Quercygale","helvetica","Inferred_teeth",0.298,0.466,0.067,0.918,0,0.889
"1489","Miacidae","Quercygale","smithi","Inferred_teeth",0.294,0.312,0.066,0.856,0,0.822
"631","Nimravidae","Quercylurus","major","Inferred_teeth",0.316,1.913,0,1.533,0.044,1.468
"1583","Viverravidae","Raphictis","gausion","Inferred_teeth",0.232,-0.497,0.038,0.639,0,0.531
"133","Canidae","Rhizocyon","oregonensis","Inferred_teeth",0.314,0.548,0,0.91,0,0.959
"1116","Felidae","Rhizosmilodon","fiteae","Inferred_teeth",0.284,1.928,0.057,1.473,0,1.347
"192","Musteloidea_not_assigned_to_family","Rhodanictis","depereti","Inferred_teeth",0.286,0.554,0,0.978,0,1.041
"835","Herpestidae","Rhynchogale","melleri","Measured",0,0.398,0.091,0.89,0.091,0.871
"1048","Amphicyonidae","Rudiocyon","amplidens","Inferred_teeth",0.293,1.997,0.047,1.409,0,1.458
"918","Mustelidae","Sabadellictis","crusafonti","Inferred_Phylogeny",0.405,0.639,0.14,0.974,0.13,1.13
"440","Viverridae","Sahelictis","korei","Inferred_teeth",0.307,1.056,0,1.251,0,1.229
"804","Eupleridae","Salanoia","concolor","Measured",0,-0.187,0.139,0.764,0.139,0.727
"1155","Barbourofelidae","Sansanosmilus","palmidens","Inferred_teeth",0.274,1.598,0.055,1.385,0,1.258
"260","Mustelidae","Sardolutra","ichnusae","Inferred_teeth",0.211,0.837,0,1.053,0,1.111
"1167","Mustelidae","Satherium","piscinarium","Inferred_teeth",0.245,1.103,0.056,1.156,0,1.241
"40","Mustelidae","Schultzogale","inexpecta","Inferred_teeth",0.24,0.019,0,0.748,0.043,0.831
"144","Viverridae","Semigenetta","elegans","Inferred_teeth",0.257,0.404,0,0.922,0,0.944
"1254","Viverridae","Semigenetta","grandis","Inferred_teeth",0.298,0.892,0.055,1.146,0,1.13
"1422","Viverridae","Semigenetta","huaiheensis","Inferred_teeth",0.257,0.463,0.044,0.973,0,0.944
"126","Viverridae","Semigenetta","laugnacensis","Inferred_teeth",0.243,0.33,0,0.903,0.045,0.901
"250","Viverridae","Semigenetta","mutata","Inferred_teeth",0.304,0.63,0,1.041,0.055,1.015
"231","Viverridae","Semigenetta","praecurrens","Inferred_teeth",0.231,0.528,0,1.013,0,0.959
"1399","Viverridae","Semigenetta","repelini","Inferred_teeth",0.271,0.508,0.048,0.991,0,0.964
"1428","Viverridae","Semigenetta","ripoli","Inferred_teeth",0.302,0.43,0.055,0.96,0,0.929
"1359","Viverridae","Semigenetta","sansaniensis","Inferred_teeth",0.288,0.593,0.055,1.011,0,1.015
"944","Stenoplesictidae","Shandgolictis","constans","Inferred_Phylogeny",0.395,0.569,0.134,0.973,0.13,0.931
"945","Stenoplesictidae","Shandgolictis","elegans","Inferred_Phylogeny",0.474,0.569,0.163,0.973,0.159,0.931
"293","Mustelidae","Siamogale","thailandica","Inferred_teeth",0.177,0.96,0,1.082,0,1.205
"858","Miacidae","Simamphicyon","helveticus","Inferred_Phylogeny",0.534,0.362,0.168,0.875,0.17,0.85
"479","Ailuridae","Simocyon","batalleri","Inferred_teeth",0.334,1.54,0,1.304,0,1.383
"1106","Ailuridae","Simocyon","diaphorus","Inferred_teeth",0.337,1.495,0.043,1.283,0,1.365
"1107","Ailuridae","Simocyon","hungaricus","Inferred_teeth",0.344,1.49,0.045,1.281,0,1.364
"1104","Ailuridae","Simocyon","marshi","Inferred_teeth",0.35,1.505,0.047,1.288,0,1.37
"1084","Ailuridae","Simocyon","primigenius","Inferred_teeth",0.358,1.568,0.05,1.313,0,1.398
"2","Viverravidae","Simpsonictis","jaynanneae","Inferred_teeth",0.181,-0.674,0,0.582,0,0.487
"1581","Viverravidae","Simpsonictis","pegus","Inferred_teeth",0.191,-0.518,0.026,0.642,0,0.559
"1586","Viverravidae","Simpsonictis","tenuis","Inferred_teeth",0.199,-0.774,0.028,0.538,0,0.447
"1290","Musteloidea_not_assigned_to_family","Sinictis","dolicognathus","Inferred_teeth",0.332,0.598,0.073,1.015,0,1.086
"113","Mustelidae","Sivanasua","moravica","Inferred_teeth",0.227,0.351,0,0.881,0,0.954
"1365","Mustelidae","Sivanasua","viverroides","Inferred_teeth",0.193,0.483,0.04,0.937,0,1.009
"1120","Mustelidae","Sivaonyx","africanus","Inferred_teeth",0.285,1.282,0.053,1.238,0,1.342
"1195","Mustelidae","Sivaonyx","bathygnathus","Inferred_teeth",0.262,0.988,0.049,1.12,0,1.214
"1124","Mustelidae","Sivaonyx","beyi","Inferred_teeth",0.26,1.254,0.047,1.227,0,1.33
"1131","Mustelidae","Sivaonyx","ekecaman","Inferred_teeth",0.272,1.218,0.048,1.212,0,1.315
"1231","Mustelidae","Sivaonyx","gandakasensis","Inferred_teeth",0.248,0.886,0.046,1.08,0,1.169
"1204","Mustelidae","Sivaonyx","hessicus","Inferred_teeth",0.245,0.967,0.045,1.112,0,1.204
"1074","Mustelidae","Sivaonyx","kamuhangirei","Inferred_teeth",0.276,1.447,0.049,1.304,0,1.415
"372","Mustelidae","Sivaonyx","senutae","Inferred_teeth",0.246,1.109,0,1.17,0.045,1.265
"1163","Mustelidae","Sivaonyx","soriae","Inferred_teeth",0.244,1.056,0.045,1.148,0,1.243
"658","Felidae","Smilodon","fatalis","Measured",0,2.592,0,1.62,0,1.439
"618","Felidae","Smilodon","gracilis","Inferred_teeth",0.224,2.219,0,1.506,0,1.356
"659","Felidae","Smilodon","populator","Inferred_teeth",0.191,2.535,0,1.63,0,1.461
"17","Mustelidae","Sminthosinis","bowleri","Inferred_teeth",0.247,-0.207,0,0.663,0,0.955
"785","Canidae","Speothos","venaticus","Measured",0,0.778,0.095,1.15,0.093,1.206
"848","Mephetidae","Spilogale","angustifrons","Measured",0,-0.412,0.064,0.759,0.063,0.823
"54","Mephetidae","Spilogale","gracilis","Measured",0,-0.282,0,0.788,0,0.85
"1512","Mephetidae","Spilogale","microdens","Inferred_teeth",0.175,-0.412,0.038,0.741,0,0.799
"49","Mephetidae","Spilogale","putorius","Measured",0,-0.467,0,0.778,0,0.857
"849","Mephetidae","Spilogale","pygmaea","Measured",0,-0.629,0.069,0.687,0.068,0.747
"29","Mephetidae","Spilogale","rexroadi","Inferred_teeth",0.182,-0.5,0,0.716,0,0.748
"809","Felidae","Stenailurus","teilhardi","Inferred_Phylogeny",0.381,1.957,0.115,1.479,0.114,1.347
"1469","Stenoplesictidae","Stenogale","brevidens","Inferred_teeth",0.275,0.496,0.06,0.952,0,0.875
"1434","Stenoplesictidae","Stenogale","intermedia","Inferred_teeth",0.243,0.603,0.053,0.995,0,0.922
"1460","Stenoplesictidae","Stenogale","julieni","Inferred_teeth",0.275,0.515,0.06,0.96,0,0.884
"135","Stenoplesictidae","Stenoplesictis","cayluxi","Inferred_teeth",0.241,0.398,0,0.911,0,0.854
"226","Stenoplesictidae","Stenoplesictis","crocheti","Inferred_teeth",0.272,0.684,0,1.011,0,0.993
"1558","Stenoplesictidae","Stenoplesictis","muhoronii","Inferred_teeth",0.285,-0.022,0.07,0.736,0,0.667
"919","Mustelidae","Sthenictis","bellus","Inferred_Phylogeny",0.295,0.442,0.094,0.962,0.093,1.065
"920","Mustelidae","Sthenictis","campestris","Inferred_Phylogeny",0.329,0.577,0.101,0.999,0.097,1.14
"1223","Mustelidae","Sthenictis","dolichops","Inferred_teeth",0.224,0.705,0.047,1.072,0,1.176
"118","Mustelidae","Sthenictis","junturensis","Inferred_teeth",0.253,0.402,0,0.886,0,1.104
"1152","Mustelidae","Sthenictis","lacota","Inferred_teeth",0.256,0.869,0.051,1.117,0,1.267
"1211","Mustelidae","Sthenictis","neimengguensis","Inferred_teeth",0.226,0.713,0.044,1.059,0,1.195
"1301","Mustelidae","Sthenictis","robustus","Inferred_teeth",0.228,0.444,0.044,0.949,0,1.079
"1446","Procyonidae","Stromeriella","depressa","Inferred_teeth",0.266,0.349,0.042,0.87,0,0.906
"138","Procyonidae","Stromeriella","franconica","Inferred_teeth",0.294,0.479,0,0.916,0,0.968
"390","Felidae","Styriofelis","lorteti","Inferred_teeth",0.303,1.183,0,1.193,0,1.125
"1288","Felidae","Styriofelis","turnauensis","Inferred_teeth",0.308,1.113,0.065,1.174,0,1.086
"1376","Felidae","Styriofelis","vallesiensis","Inferred_teeth",0.296,0.899,0.058,1.086,0,0.995
"400","Canidae","Sunkahetanka","geringensis","Inferred_teeth",0.311,1.263,0,1.204,0,1.246
"89","Herpestidae","Suricata","major","Inferred_teeth",0.205,0.236,0,0.848,0,0.796
"9","Herpestidae","Suricata","suricatta","Measured",0,-0.139,0,0.643,0,0.643
"1306","Barbourofelidae","Syrtosmilus","syrtensis","Inferred_teeth",0.227,1.138,0.04,1.196,0,1.071
"409","Miacidae","Tapocyon","robustus","Inferred_teeth",0.312,1.163,0,1.217,0.071,1.15
"251","Mustelidae","Taxidea","mexicana","Inferred_teeth",0.261,0.835,0,1.041,0,1.127
"921","Mustelidae","Taxidea","taxus","Measured",0,0.852,0.098,1.032,0.098,1.108
"1282","Mustelidae","Taxodon","hessicum","Inferred_teeth",0.278,0.568,0.065,0.978,0,1.09
"1344","Mustelidae","Taxodon","sansaniensis","Inferred_teeth",0.27,0.429,0.063,0.921,0,1.029
"438","Amphicyonidae","Temnocyon","altigenis","Inferred_teeth",0.31,1.58,0,1.25,0,1.266
"514","Amphicyonidae","Temnocyon","ferox","Inferred_teeth",0.293,1.789,0,1.346,0,1.346
"510","Amphicyonidae","Temnocyon","fingeruti","Inferred_teeth",0.285,1.841,0,1.342,0,1.393
"1052","Amphicyonidae","Temnocyon","macrogenys","Inferred_teeth",0.313,1.977,0.051,1.4,0,1.45
"1101","Amphicyonidae","Temnocyon","percussor","Inferred_teeth",0.315,1.81,0.051,1.332,0,1.377
"465","Amphicyonidae","Temnocyon","subferox","Inferred_teeth",0.246,1.668,0,1.286,0,1.305
"428","Canidae","Tephrocyon","rurestris","Inferred_teeth",0.363,1.322,0,1.234,0,1.283
"1159","Hyanidae","Thalassictis","certa","Inferred_teeth",0.236,1.265,0.041,1.348,0,1.249
"1136","Hyanidae","Thalassictis","montadai","Inferred_teeth",0.251,1.384,0.045,1.397,0,1.301
"1201","Hyanidae","Thalassictis","proava","Inferred_teeth",0.225,1.164,0.04,1.307,0,1.205
"1162","Hyanidae","Thalassictis","robusta","Inferred_teeth",0.292,1.25,0.057,1.343,0,1.243
"509","Hyanidae","Thalassictis","sarmatica","Inferred_teeth",0.248,1.249,0,1.342,0.044,1.241
"508","Hyanidae","Thalassictis","spelaea","Inferred_teeth",0.261,1.245,0,1.342,0,1.239
"1090","Amphicyonidae","Thaumastocyon","bourgeoisi","Inferred_teeth",0.272,1.995,0.055,1.314,0,1.389
"767","Amphicyonidae","Thaumastocyon","dirus","Inferred_Phylogeny",0.445,2.089,0.142,1.353,0.138,1.431
"1099","Canidae","Theriodictis","floriadanus","Inferred_teeth",0.253,1.285,0.058,1.319,0,1.382
"786","Canidae","Theriodictis","proplatensis","Inferred_Phylogeny",0.352,1.288,0.115,1.32,0.106,1.383
"1040","Canidae","Theriodictis","tarijensis","Inferred_teeth",0.266,1.501,0.061,1.406,0,1.476
"47","Mustelidae","Tisisthenes","parvus","Inferred_teeth",0.302,-0.148,0,0.771,0.066,0.842
"475","Canidae","Tomarctus","brevirostris","Inferred_teeth",0.369,1.482,0,1.3,0,1.353
"430","Canidae","Tomarctus","hippophaga","Inferred_teeth",0.377,1.34,0,1.236,0,1.298
"573","Hyanidae","Tongxinictis","primordialis","Inferred_teeth",0.221,1.425,0,1.423,0.04,1.31
"382","Mustelidae","Torolutra","angololensis","Inferred_teeth",0.241,1.142,0,1.185,0.046,1.247
"347","Mustelidae","Torolutra","ougandensis","Inferred_teeth",0.259,1.031,0,1.14,0,1.199
"1122","Ursidae","Tremarctos","floridanus","Inferred_teeth",0.213,2.181,0.058,1.2,0,1.342
"1150","Ursidae","Tremarctos","ornatus","Measured",0,2.146,0.057,1.147,0,1.278
"1319","Mustelidae","Trigonictis","cookii","Inferred_teeth",0.277,0.293,0.058,0.97,0,1.057
"287","Mustelidae","Trigonictis","macrodon","Inferred_teeth",0.27,0.509,0,1.076,0,1.134
"1437","Mustelidae","Trocharion","albanense","Inferred_teeth",0.299,0.25,0.06,0.854,0,0.919
"270","Musteloidea_not_assigned_to_family","Trochictis","artenensis","Inferred_teeth",0.261,0.684,0,1.061,0,1.064
"1258","Musteloidea_not_assigned_to_family","Trochictis","carbonaria","Inferred_teeth",0.274,0.782,0.05,1.088,0,1.117
"1405","Musteloidea_not_assigned_to_family","Trochictis","narcisoi","Inferred_teeth",0.315,0.418,0.061,0.941,0,0.959
"1224","Mustelidae","Trochotherium","cyamoides","Inferred_teeth",0.274,0.724,0.069,1.021,0,1.176
"1264","Viverridae","Tugenictis","ngororaensis","Inferred_teeth",0.277,0.79,0.054,1.091,0,1.111
"358","Hyanidae","Tungurictis","spocki","Inferred_teeth",0.238,0.759,0,1.146,0,1.025
"307","Mustelidae","Tyrrhenolutra","helbingi","Inferred_teeth",0.235,0.978,0,1.097,0.052,1.174
"1524","Viverridae","Ugandictis","napakensis","Inferred_teeth",0.227,0.045,0.049,0.788,0,0.778
"859","Miacidae","Uintacyon","acutus","Inferred_Phylogeny",0.487,0.343,0.152,0.868,0.152,0.841
"1474","Miacidae","Uintacyon","asodes","Inferred_teeth",0.301,0.416,0.047,0.901,0,0.869
"1329","Miacidae","Uintacyon","bathygnathus","Inferred_teeth",0.32,0.806,0.051,1.056,0,1.041
"860","Miacidae","Uintacyon","edax","Inferred_Phylogeny",0.444,0.369,0.136,0.883,0.138,0.848
"31","Miacidae","Uintacyon","gingerichi","Inferred_teeth",0.282,-0.029,0,0.716,0,0.681
"11","Miacidae","Uintacyon","hookeri","Inferred_teeth",0.3,-0.16,0,0.645,0,0.641
"861","Miacidae","Uintacyon","jugulans","Inferred_Phylogeny",0.472,0.285,0.15,0.845,0.149,0.815
"1479","Miacidae","Uintacyon","massetericus","Inferred_teeth",0.281,0.376,0.044,0.886,0,0.851
"862","Miacidae","Uintacyon","pugnax","Inferred_Phylogeny",0.467,0.306,0.148,0.854,0.148,0.824
"90","Miacidae","Uintacyon","rudis","Inferred_teeth",0.271,0.23,0,0.848,0,0.767
"863","Miacidae","Uintacyon","vorax","Inferred_Phylogeny",0.471,0.238,0.147,0.829,0.146,0.791
"232","Canidae","Urocyon","cinereoargenteus","Measured",0,0.584,0,1.017,0,1.092
"1297","Canidae","Urocyon","citrinus","Inferred_teeth",0.189,0.537,0.038,1.016,0,1.079
"244","Canidae","Urocyon","galushai","Inferred_teeth",0.208,0.555,0,1.033,0,1.07
"787","Canidae","Urocyon","littoralis","Measured",0,0.278,0.065,0.939,0.065,1.005
"207","Canidae","Urocyon","minicephalus","Inferred_teeth",0.182,0.481,0,0.994,0,1.066
"788","Canidae","Urocyon","progressus","Inferred_Phylogeny",0.393,0.612,0.133,1.034,0.132,1.089
"236","Canidae","Urocyon","webbi","Inferred_teeth",0.208,0.606,0,1.021,0,1.09
"290","Ursidae","Ursavus","brevirhinus","Inferred_teeth",0.268,1.63,0,1.079,0,1.212
"365","Ursidae","Ursavus","ehrenbergi","Inferred_teeth",0.21,1.783,0,1.161,0,1.13
"262","Ursidae","Ursavus","intermedius","Inferred_teeth",0.215,1.579,0,1.057,0,1.176
"151","Ursidae","Ursavus","isorei","Inferred_teeth",0.22,1.335,0,0.929,0,1.148
"1105","Ursidae","Ursavus","pawniensis","Inferred_teeth",0.319,1.813,0.064,1.241,0,1.367
"325","Ursidae","Ursavus","primaevus","Inferred_teeth",0.252,1.81,0,1.114,0,1.297
"338","Ursidae","Ursavus","sylvestris","Inferred_teeth",0.193,1.952,0,1.127,0,1.312
"308","Ursidae","Ursavus","tedfordi","Inferred_teeth",0.194,1.886,0,1.097,0,1.29
"289","Ursidae","Ursus","americanus","Measured",0,2,0,1.079,0,1.279
"950","Ursidae","Ursus","angustidens","Inferred_Phylogeny",0.301,2.018,0.107,1.159,0.107,1.306
"398","Ursidae","Ursus","arctos","Measured",0,2.257,0,1.204,0,1.389
"1132","Ursidae","Ursus","boeckhi","Inferred_teeth",0.188,2.045,0.041,1.177,0,1.315
"393","Ursidae","Ursus","etruscus","Inferred_teeth",0.188,2.212,0,1.196,0,1.408
"951","Ursidae","Ursus","footei","Inferred_Phylogeny",0.283,2.009,0.101,1.154,0.1,1.302
"952","Ursidae","Ursus","maritimus","Measured",0,2.59,0.063,1.314,0.063,1.481
"1111","Ursidae","Ursus","minimus","Inferred_teeth",0.203,2.142,0.045,1.213,0,1.357
"410","Ursidae","Ursus","namadicus","Inferred_teeth",0.184,2.052,0,1.218,0,1.279
"452","Ursidae","Ursus","spelaeus","Inferred_teeth",0.184,2.37,0,1.265,0,1.459
"953","Ursidae","Ursus","thibetanus","Measured",0,1.889,0.067,1.115,0.066,1.267
"1060","Barbourofelidae","Vampyrictis","vipera","Inferred_teeth",0.211,2.055,0.042,1.573,0,1.436
"864","Miacidae","Vassacyon","bowni","Inferred_Phylogeny",0.383,0.304,0.125,0.843,0.123,0.811
"1543","Miacidae","Vassacyon","prieuri","Inferred_teeth",0.238,0.115,0.04,0.755,0,0.73
"1451","Miacidae","Vassacyon","promicrodon","Inferred_teeth",0.269,0.51,0.046,0.911,0,0.899
"1504","Miacidae","Vassacyon","taxidiotis","Inferred_teeth",0.285,0.297,0.05,0.826,0,0.808
"1086","Hyanidae","Werdelinus","africanus","Inferred_teeth",0.214,1.647,0.04,1.526,0,1.398
"521","Amphicyonidae","Vishnucyon","chinjiensis","Inferred_teeth",0.288,2.128,0,1.364,0.056,1.444
"1400","Viverridae","Vishnuictis","africana","Inferred_teeth",0.239,0.503,0.051,0.984,0,0.964
"1380","Viverridae","Vishnuictis","chinjiensis","Inferred_teeth",0.255,0.568,0.055,1.012,0,0.991
"472","Viverridae","Vishnuictis","durandi","Inferred_teeth",0.322,1.206,0,1.29,0.069,1.249
"275","Mustelidae","Vishnuonyx","chinjiensis","Inferred_teeth",0.216,0.851,0,1.064,0.043,1.154
"1196","Viverridae","Viverra","apennina","Inferred_teeth",0.213,1.154,0.049,1.214,0,1.212
"385","Viverridae","Viverra","bakerii","Inferred_teeth",0.216,1.083,0,1.19,0.049,1.177
"982","Viverridae","Viverra","civettina","Measured",0,1.107,0.079,1.175,0.077,1.167
"1338","Viverridae","Viverra","howeli","Inferred_teeth",0.234,0.733,0.051,1.047,0,1.033
"1226","Viverridae","Viverra","karnuliensis","Inferred_teeth",0.214,1.073,0.05,1.18,0,1.176
"435","Viverridae","Viverra","leakeyi","Inferred_teeth",0.276,1.191,0,1.243,0,1.23
"983","Viverridae","Viverra","megaspila","Measured",0,0.966,0.079,1.135,0.077,1.127
"1277","Viverridae","Viverra","pepraxti","Inferred_teeth",0.234,0.885,0.053,1.107,0,1.097
"984","Viverridae","Viverra","tangalunga","Measured",0,0.838,0.084,1.108,0.081,1.1
"323","Viverridae","Viverra","zibetha","Measured",0,0.978,0,1.113,0,1.105
"10","Viverravidae","Viverravus","acutus","Measured",0,-0.62,0,0.645,0,0.66
"955","Viverravidae","Viverravus","bowni","Inferred_Phylogeny",0.291,-0.264,0.088,0.759,0.085,0.712
"1542","Viverravidae","Viverravus","gracilis","Inferred_teeth",0.273,-0.199,0.051,0.783,0,0.732
"1552","Viverravidae","Viverravus","lutosus","Inferred_teeth",0.252,-0.3,0.046,0.743,0,0.692
"1556","Viverravidae","Viverravus","minutus","Inferred_teeth",0.285,-0.299,0.05,0.744,0,0.687
"81","Viverravidae","Viverravus","politus","Inferred_teeth",0.207,-0.078,0,0.837,0,0.794
"159","Viverravidae","Viverravus","sicarius","Inferred_teeth",0.267,0.173,0,0.94,0,0.889
"1525","Viverridae","Viverrictis","modica","Inferred_teeth",0.263,0.052,0.059,0.791,0,0.778
"985","Viverridae","Viverricula","indica","Measured",0,0.464,0.119,0.999,0.118,0.988
"956","Viverravidae","Viverriscus","omnivorus","Inferred_Phylogeny",0.315,-0.247,0.097,0.766,0.093,0.718
"1481","Mustelidae","Vormela","peregusna","Measured",0,-0.347,0.065,0.748,0,0.839
"1493","Mustelidae","Vormela","petenyii","Inferred_teeth",0.241,-0.291,0.064,0.736,0,0.82
"1521","Miacidae","Vulpavus","australis","Inferred_teeth",0.274,0.334,0.059,0.812,0,0.778
"865","Miacidae","Vulpavus","canavus","Measured",0,0.653,0.096,0.894,0.092,0.858
"1578","Miacidae","Vulpavus","farsonensis","Inferred_teeth",0.281,-0.083,0.061,0.639,0,0.591
"866","Miacidae","Vulpavus","hargeri","Inferred_Phylogeny",0.386,0.287,0.128,0.789,0.122,0.753
"867","Miacidae","Vulpavus","ovatus","Inferred_Phylogeny",0.382,0.24,0.128,0.77,0.124,0.733
"1488","Miacidae","Vulpavus","palustris","Inferred_teeth",0.285,0.457,0.063,0.857,0,0.826
"868","Miacidae","Vulpavus","profectus","Inferred_Phylogeny",0.386,0.289,0.126,0.79,0.12,0.753
"789","Canidae","Vulpes","angustidens","Inferred_Phylogeny",0.299,0.426,0.107,1.033,0.109,1.052
"282","Canidae","Vulpes","beihaiensis","Inferred_teeth",0.173,0.418,0,1.068,0,1.002
"790","Canidae","Vulpes","bengalensis","Measured",0,0.436,0.067,1.052,0.063,1.073
"791","Canidae","Vulpes","cana","Measured",0,-0.028,0.073,0.914,0.072,0.928
"1339","Canidae","Vulpes","chama","Measured",0,0.471,0.046,1.023,0,1.029
"298","Canidae","Vulpes","chikushanensis","Inferred_teeth",0.191,0.585,0,1.085,0,1.122
"1293","Canidae","Vulpes","corsac","Measured",0,0.38,0.044,1.055,0,1.081
"792","Canidae","Vulpes","ferrilata","Measured",0,0.699,0.067,1.127,0.063,1.147
"327","Canidae","Vulpes","galaticus","Inferred_teeth",0.173,0.565,0,1.114,0,1.072
"255","Canidae","Vulpes","kernensis","Inferred_teeth",0.219,0.598,0,1.049,0,1.072
"1262","Canidae","Vulpes","lagopus","Measured",0,0.687,0.04,1.089,0,1.111
"228","Canidae","Vulpes","macrotis","Measured",0,0.312,0,1.012,0,1.07
"184","Canidae","Vulpes","mathisoni","Inferred_teeth",0.173,0.298,0,0.964,0,0.987
"1424","Canidae","Vulpes","pallida","Measured",0,0.447,0.047,0.952,0,0.942
"793","Canidae","Vulpes","pattersoni","Inferred_Phylogeny",0.285,0.437,0.102,1.036,0.102,1.051
"296","Canidae","Vulpes","praecorsac","Inferred_teeth",0.189,0.571,0,1.083,0,1.104
"1251","Canidae","Vulpes","praeglacialis","Inferred_teeth",0.192,0.629,0.046,1.115,0,1.138
"1259","Canidae","Vulpes","pulcher","Inferred_teeth",0.183,0.573,0.044,1.093,0,1.116
"1360","Canidae","Vulpes","riffautae","Inferred_teeth",0.176,0.39,0.039,1.003,0,1.013
"268","Canidae","Vulpes","rueppellii","Measured",0,0.457,0,1.061,0,1.13
"1361","Canidae","Vulpes","skinneri","Inferred_teeth",0.181,0.343,0.043,0.998,0,1.011
"333","Canidae","Vulpes","stenognathus","Inferred_teeth",0.275,0.857,0,1.123,0,1.173
"249","Canidae","Vulpes","velox","Measured",0,0.342,0,1.041,0,1.094
"1240","Canidae","Vulpes","vulpes","Measured",0,0.726,0.042,1.131,0,1.157
"1472","Canidae","Vulpes","zerda","Measured",0,0.041,0.049,0.875,0,0.869
"794","Canidae","Xenocyon","atrox","Inferred_Phylogeny",0.336,1.353,0.106,1.349,0.099,1.388
"1092","Canidae","Xenocyon","dubius","Inferred_teeth",0.253,1.355,0.054,1.35,0,1.389
"1050","Canidae","Xenocyon","falconeri","Inferred_teeth",0.253,1.502,0.054,1.409,0,1.453
"1072","Canidae","Xenocyon","lycaonoides","Inferred_teeth",0.254,1.422,0.054,1.377,0,1.418
"1051","Canidae","Xenocyon","texanus","Inferred_teeth",0.251,1.499,0.053,1.408,0,1.452
"657","Felidae","Xenosmilus","hodsonae","Inferred_teeth",0.273,2.297,0,1.616,0,1.505
"1404","Miacidae","Xinyuictis","lushiensis","Inferred_teeth",0.359,0.626,0.053,0.987,0,0.959
"27","Miacidae","Xinyuictis","tenius","Inferred_teeth",0.294,-0.072,0,0.708,0,0.653
"869","Miacidae","Xinyuictis","thailandicus","Inferred_Phylogeny",0.506,0.35,0.148,0.876,0.146,0.839
"504","Felidae","Yoshi","garevskii","Inferred_teeth",0.303,1.56,0,1.336,0,1.248
"583","Amphicyonidae","Ysengrinia","americana","Measured",0,2.267,0,1.435,0,1.459
"1037","Amphicyonidae","Ysengrinia","depereti","Inferred_teeth",0.256,2.259,0.057,1.437,0,1.484
"1088","Amphicyonidae","Ysengrinia","gerandiana","Inferred_teeth",0.219,2.055,0.048,1.354,0,1.396
"1053","Amphicyonidae","Ysengrinia","tolosana","Inferred_teeth",0.192,2.161,0.041,1.399,0,1.45
"768","Amphicyonidae","Ysengrinia","valentiana","Inferred_Phylogeny",0.369,2.121,0.124,1.38,0.12,1.424
