"species","Diet","LD1","LD2","log_mass"
"Osbornodon_sesnoni",2,-0.02033680313162,-1.44956950422699,1.084
"Otarocyon_cooki",2,0.228643582775016,-0.64901789540624,0.259
"Otarocyon_macdonaldi",2,-0.150652689995976,-0.308921207327244,0.166
"Oxetocyon_cuspidatus",2,0.804473593199629,-1.29916302812517,0.377
"Paracynarctus_kelloggi",2,0.442539007599818,0.24738801898231,1.039
"Paracynarctus_sinclairi",2,-1.17146557049329,1.3059752904164,0.97
"Paraenhydrocyon_josephi",2,0.168888641235167,0.051811346018093,1.066
"Paraenhydrocyon_robustus",2,-1.84402536048783,0.393128146364157,1.192
"Paraenhydrocyon_wallovianus",1,-3.05345291631962,0.564170010248285,1.373
"Paratomarctus_euthos",2,-1.43043753378106,1.15539280177222,1.372
"Paratomarctus_temerarius",2,-0.787052490980442,0.686883863764706,1.222
"Philotrox_condoni",1,-3.28386929421648,1.84024840040081,0.875
"Phlaocyon_achoros",2,-0.185700693317676,0.008143293503286,0.434
"Phlaocyon_annectens",2,-0.073119912291222,-0.988448490627618,0.58
"Phlaocyon_latidens",2,1.27350877125009,-1.73716710457832,0.435
"Phlaocyon_leucosteus",3,0.846250507247996,1.10782123644727,0.623
"Phlaocyon_mariae",2,-0.832805535437799,0.834740675985987,1.419
"Phlaocyon_marslandensis",3,1.04763539017487,-0.273108655634139,0.761
"Phlaocyon_minor",3,1.29213700265651,-0.811430134441661,0.574
"Phlaocyon_multicuspus",2,-0.157167676293812,-0.014765357709969,0.747
"Phlaocyon_yatkolai",2,0.640435882418385,-0.604559432832694,1.134
"Protepicyon_raki",1,-2.52247989448408,2.65544008811784,1.672
"Protocyon_troglodytes",1,-2.37883062794178,0.867718789482847,1.344
"Protomarctus_optatus",2,-0.810377358870516,0.334719326493656,1.24
"Psalidocyon_marianae",2,-0.503657232740087,0.531422112615328,1.083
"Rhizocyon_oregonensis",2,-1.29670611723471,-0.182767354882082,0.548
"Sunkahetanka_geringensis",1,-1.94305186622871,1.34701654021046,1.263
"Tephrocyon_rurestris",1,-2.24872000588879,1.96521294440789,1.322
"Tomarctus_brevirostris",1,-2.10904874203103,1.74780007254577,1.482
"Tomarctus_hippophaga",2,-0.893978523278182,1.27550720767708,1.34
"Urocyon_cinereoargenteus",2,0.130243319026543,-0.778674025332902,0.584
"Urocyon_citrinus",2,0.693148912884762,-0.520683679006152,0.537
"Urocyon_galushai",2,1.38532386207989,-2.19093574615097,0.555
"Urocyon_littoralis",2,0.194019561540189,-0.79329477134324,0.278
"Urocyon_minicephalus",3,2.25564004096461,-2.76818360779431,0.481
"Urocyon_progressus",2,0.618331059370609,-1.57608477423024,0.612
"Urocyon_webbi",2,1.79008788631858,-2.73372215879643,0.606
"Vulpes_kernensis",2,-0.755546029750049,-0.732978303869104,0.598
"Vulpes_lagopus",2,-2.44260207400018,0.197650546947714,0.687
"Vulpes_macrotis",2,-0.554246379785772,-0.898353771480131,0.312
"Vulpes_stenognathus",2,-0.613729924472541,-1.00013889970018,0.857
"Vulpes_velox",2,-1.41363366403825,-1.07342578907197,0.342
"Vulpes_vulpes",2,-1.54524089900528,-0.600876098641936,0.726
"Xenocyon_lycaonoides",2,-1.75825800223927,0.492285510140045,1.422
"Xenocyon_texanus",1,-2.92628869456777,1.13610078620872,1.499
