"";"Taxon";"Region";"MinAge";"MaxAge";"Locality";"max.age";"min.age"
"174";"Loxodonta africana";"Africa";0,117;0,781;"Lake Eyasi_siteSet_1";0,781;0
"175";"Palaeoloxodon jolensis";"Africa";0,126;0,774;"Ain Maarouf_siteSet_1";0,774;0,104
"176";"Palaeoloxodon naumanni";"Asia";0,012;0,7;"Xujiayao_siteSet_1";0,7;0,0117
"177";"Palaeoloxodon mnaidriensis";"Europe";0,13;0,43;"Island fossil ungulates and their predators_siteSet_2";0,43;0,13
"178";"Mammuthus exilis";"North America";0,012;0,3;"Canada Tecolote_siteSet_1";0,3;0,012
"179";"Mammuthus lamarmorai";"Europe";0,14;0,29;"Tramariglio_siteSet_1";0,29;0,029
"180";"Stegodon namadicus";"Asia";0,048;0,236;"Narmada_siteSet_1";0,236;0,048
"181";"Stegodon timorensis";"Asia";0,13;0,168;"Ainaro Gravels - Atambua - Timor_siteSet_1";0,168;0,13
"182";"Palaeoloxodon creutzburgi";"Europe";0,012;0,126;"Island fossil ungulates_siteSet_2";0,126;0,012
"183";"Palaeoloxodon tiliensis";"Europe";0,012;0,126;"Charkadio Cave_siteSet_1";0,126;0,012
"184";"Palaeoloxodon lomolinoi";"Europe";0,012;0,126;"Trypiti River-Naxos_siteSet_1";0,126;0,012
"185";"Loxodonta cyclotis";"Africa";0,01;0,012;"Current distribution_siteSet_1";0,012;0,01
