"species","RBL","RLGA","M1BS","M2S","p4S"
"Aelurodon_asthenostylus",0.723438179000017,0.654276130999996,0.122617196999998,0.360801700000005,0.596428340999989
"Aelurodon_ferox",0.742780764000001,0.597914128000002,0.123010550999997,0.334820018,0.600083851000011
"Aelurodon_mcgrewi",0.727230443000014,0.626696250999999,0.123671576000003,0.343435514000003,0.640670675000013
"Aelurodon_montanensis",0.74800000000001,0.594182311090268,0.129292926865364,0.341621169819476,0.614626382672862
"Aelurodon_stirtoni",0.772914728000011,0.552047137999994,0.140908888,0.318092383000002,0.634190564000005
"Aelurodon_taxoides",0.759994707000003,0.600231914999996,0.121448584000003,0.365504815000005,0.55750088000001
"Archaeocyon_leptodus",0.668210910999995,0.851066028999987,0.103571062,0.446304366999995,0.440118225999995
"Archaeocyon_pavidus",0.63556041899999,0.915529461000005,0.0990054800000015,0.459091311999998,0.493865959999995
"Borophagus_diversidens",0.715488427999991,0.569801227000009,0.138262531999999,0.316480641999993,0.721139167000008
"Borophagus_dudleyi",0.735894831498591,0.560194519474904,0.141609603122547,0.318800818648684,0.699311506145717
"Borophagus_hilli",0.709363533999986,0.629382150999996,0.141210375000001,0.333441943000004,0.724576613999983
"Borophagus_littoralis",0.669999999999994,0.791654553229722,0.118230239680539,0.394590112482745,0.617893793694916
"Borophagus_orc",0.727516778999992,0.646959284999989,0.130061452850756,0.383640921999998,0.585842147999993
"Borophagus_parvus",0.698751478999992,0.690329817000011,0.129445625000002,0.360460584999999,0.661389901000006
"Borophagus_pugnator",0.700715686999995,0.668534586999995,0.127582868000002,0.371125371999996,0.596005190000016
"Borophagus_secundus",0.717695942999998,0.704539848999996,0.132796506999998,0.382882891999998,0.664811743999997
"Canis_armbrusteri",0.691810050999989,0.730566146999992,0.118543130999999,0.375589122000004,0.54788071399999
"Canis_cedazoensis",0.671707125381834,0.813686850321614,0.101383236068187,0.40884819512704,0.436259334906699
"Canis_dirus",0.731863750000002,0.630161842000006,0.119832684000001,0.331224511,0.481225277000007
"Canis_edwardii",0.683013956,0.739663455000017,0.113077004000001,0.367883290000005,0.440193184999998
"Canis_ferox",0.701344956999988,0.721487246000006,0.0973439119999995,0.380056546999996,0.411709712000003
"Canis_lepophagus",0.707927025999994,0.818326400000013,0.110527988000001,0.424808387999991,0.406011924999991
"Canis_rufus",0.692477288797941,0.740694891487721,0.108974384590798,0.380944673754934,0.459176279076547
"Canis_thooides",0.686476212000002,0.775155165000001,0.103272239999999,0.412657979000003,0.425627239999996
"Carpocyon_compressus",0.661841629000002,0.839054691000001,0.110303402,0.424729129000009,0.573154611
"Carpocyon_limosus",0.670270870740569,0.834703828276363,0.108826500818891,0.430843616300658,0.547516597832648
"Carpocyon_robustus",0.691691469000002,0.756373080999994,0.116069350000001,0.397774487999996,0.573820991999997
"Carpocyon_webbi",0.692075844999987,0.792827225999988,0.112253558999999,0.427393886000004,0.545929552000004
