"species","diet","LD1","log_mass"
"Protocyon_troglodytes","1","-2.37883057312018","1.344"
"Protomarctus_optatus","2","-0.810377358870516","1.24"
"Psalidocyon_marianae","2","-0.503657232740086","1.083"
"Rhizocyon_oregonensis","2","-1.2967061172347","0.548"
"Sunkahetanka_geringensis","1","-1.94305186622871","1.263"
"Tephrocyon_rurestris","1","-2.24872003488256","1.322"
"Tomarctus_brevirostris","1","-2.10904874203103","1.482"
"Tomarctus_hippophaga","2","-0.893978523278185","1.34"
"Urocyon_cinereoargenteus","2","0.130243319026543","0.584"
"Urocyon_citrinus","2","0.69314888791476","0.537"
"Urocyon_galushai","2","1.38532389367849","0.555"
"Urocyon_littoralis","2","0.19401956154019","0.278"
"Urocyon_minicephalus","3","2.25564006509606","0.481"
"Urocyon_progressus","2","0.618331127731623","0.612"
"Urocyon_webbi","2","1.79008796335912","0.606"
"Vulpes_kernensis","2","-0.755545991414072","0.598"
"Vulpes_lagopus","2","-2.44260207400017","0.687"
"Vulpes_macrotis","2","-0.554246397760125","0.312"
"Vulpes_stenognathus","2","-0.613729924472533","0.857"
"Vulpes_velox","2","-1.41363366403824","0.342"
"Vulpes_vulpes","2","-1.54524089900527","0.726"
"Xenocyon_lycaonoides","2","-1.75825803480212","1.422"
"Xenocyon_texanus","1","-2.9262887362365","1.499"
