species;status;m1;RBL;RLGA;M1BS;M2S;p4S
Hesperocyon_gregarius;extinct;9.375620069;0.673142277;0.822415022;0.09932289;0.420881161;0.424789187
Leptocyon_douglassi;extinct;9.81747943;0.697;NA;NA;NA;NA
Leptocyon_gregorii;extinct;10.44720219;0.700177632;0.724186429;0.110246624;0.390123388;0.430505225
Leptocyon_leidyi;extinct;10.64143018;0.66228808;0.803405711;0.091149591;0.41853705;0.425102047
Leptocyon_matthewi;extinct;13.09181923;0.675;NA;NA;NA;NA
Leptocyon_mollis;extinct;10.37528416;0.651;NA;NA;NA;NA
Leptocyon_tejonensis;extinct;11.80320636;0.629;NA;NA;NA;NA
Leptocyon_vafer;extinct;11.74897555;0.688529746;0.778246683;0.100416567;0.4143679;0.398355861
Leptocyon_vulpinus;extinct;11.27197456;0.699363369;0.80640945;NA;0.440484856;0.404034873
Mesocyon_brachyops;extinct;14.62177174;0.709;NA;NA;NA;NA
Mesocyon_coryphaeus;extinct;16.74942876;0.717041801;0.72810255;NA;0.413805255;0.590707965
Mesocyon_temnodon;extinct;13.77209469;0.684419198;0.817692572;0.086121892;0.434932149;0.441986224
Metalopex_bakeri;extinct;12.5025903;0.534309946;NA;NA;NA;0.34965035
Metalopex_macconnelli;extinct;12.35947433;0.633041893;0.861510966;NA;0.421603423;0.417274544
Metalopex_merriami;extinct;14.55459081;0.678072289;0.853586803;NA;0.463363353;0.358529111
Metatomarctus_canavus;extinct;17.45822153;0.676497782;0.862040814;0.108471207;0.45406837;0.501198532
Microtomarctus_conferta;extinct;15.4525444;0.680089663;0.804414728;0.115510336;0.430482521;0.548081774
Osbornodon_brachypus;extinct;NA;0.703766161;0.770046759;0.09648582;0.405325575;0.457849961
Osbornodon_fricki;extinct;27.86121169;0.731094765;0.651684224;0.116455942;0.360076049;0.527046311
Osbornodon_iamonensis;extinct;19.95262315;0.686776012;0.797434484;NA;0.437291404;0.517527647
Osbornodon_renjiei;extinct;12.33104833;0.622498625;0.930211473;NA;0.432856252;0.445046489
Osbornodon_scitulus;extinct;17.70108958;NA;NA;NA;NA;NA
Osbornodon_sesnoni;extinct;14.96235656;0.644014383;0.896001361;NA;0.463265871;0.416764845
Otarocyon_cooki;extinct;6.516283941;0.619541874;1.035572942;0.078316422;0.496442459;0.534801163
Otarocyon_macdonaldi;extinct;6.295061829;0.63029316;0.957049574;0.089293955;0.459011863;0.536516854
Oxetocyon_cuspidatus;extinct;7.638357836;0.6;NA;NA;NA;NA
Paracynarctus_kelloggi;extinct;14.96235656;0.649744233;1.01772557;NA;0.530661372;0.510366536
Paracynarctus_sinclairi;extinct;14.68926278;0.693281132;NA;NA;0.462147407;0.537344398
Paraenhydrocyon_josephi;extinct;14.55459081;0.71;0.737396862;0.09250501;0.523368752;0.472892663
Paraenhydrocyon_robustus;extinct;15.81248039;0.703;NA;NA;NA;NA
Paraenhydrocyon_wallovianus;extinct;19.81527026;0.709179778;0.721815606;0.091080564;0.383836013;0.504647934
Paratomarctus_euthos;extinct;20.32357011;0.677406161;0.777572936;0.114500733;0.396046538;0.559465697
Paratomarctus_temerarius;extinct;17.86487575;0.663454254;0.832914123;0.107450255;0.425960984;0.549440985
Philotrox_condoni;extinct;8.072350302;0.735813369;0.72690878;NA;0.399462009;0.504786352
Phlaocyon_achoros;extinct;8.49180475;0.651;NA;NA;NA;NA
Phlaocyon_annectens;extinct;9.705099672;0.624334878;0.922024701;NA;0.434387538;0.483443275
Phlaocyon_latidens;extinct;8.203515443;0.579881657;1.10963183;NA;0.49494486;0.484517304
Phlaocyon_leucosteus;extinct;9.749896377;0.651678035;1.029526671;0.098423389;0.558136305;0.595567962
Phlaocyon_mariae;extinct;20.70141349;NA;NA;NA;NA;NA
Phlaocyon_marslandensis;extinct;11.19437883;0.58;1.219081664;NA;0.528389007;0.590439276
Phlaocyon_minor;extinct;9.311078755;0.628873511;1.020743608;0.091310765;0.531606762;0.459703435
Phlaocyon_multicuspus;extinct;11.16863248;NA;NA;NA;NA;NA
Phlaocyon_yatkolai;extinct;16.21810097;0.6;NA;NA;NA;NA
Protepicyon_raki;extinct;26.6072506;0.723186658;0.68489427;0.129693452;0.381247009;0.591397423
Protocyon_troglodytes;extinct;25.58585887;NA;NA;NA;NA;NA
Protomarctus_optatus;extinct;17.74189481;0.672;0.831445252;0.101172419;0.442930083;0.510223072
Psalidocyon_marianae;extinct;15.3815464;0.671689407;0.81856784;0.110903814;0.439605067;0.505845363
Rhizocyon_oregonensis;extinct;9.099132726;0.658;0.966519248;0.091205212;0.451935287;0.450491326
Sunkahetanka_geringensis;extinct;17.61976046;0.698278676;0.735467019;0.105700238;0.406748686;0.578219534
Tephrocyon_rurestris;extinct;19.18668741;0.722;NA;NA;NA;NA
Tomarctus_brevirostris;extinct;22.54239212;0.706134622;0.73093494;0.120890924;0.391687854;0.544056725
Tomarctus_hippophaga;extinct;19.86094917;0.67406429;0.878299885;0.108961925;0.455050615;0.563759452
Urocyon_cinereoargenteus;extant;12.35947433;0.631509359;0.969976572;0.088307053;0.473792227;0.477459204
Urocyon_citrinus;extinct;11.99499303;0.628086433;1.080324897;NA;0.528839838;0.468111077
Urocyon_galushai;extinct;11.74897555;NA;NA;NA;0.518918754;0.3825
Urocyon_littoralis;extant;10.11579454;0.628086433;0.946804663;0.095303735;0.453853131;0.468111077
Urocyon_minicephalus;extinct;11.64126029;0.551181102;NA;NA;NA;0.427777778
Urocyon_progressus;extinct;NA;NA;NA;NA;NA;NA
Urocyon_webbi;extinct;12.30268771;0.568;NA;NA;NA;NA
Vulpes_kernensis;extinct;11.80320636;0.675;NA;NA;NA;NA
Vulpes_lagopus;extant;12.91219274;0.701448929;0.690730145;0.10541797;0.486187742;0.44492979
Vulpes_macrotis;extant;11.74897555;NA;NA;NA;NA;NA
Vulpes_stenognathus;extinct;14.89361078;0.666644234;0.800658255;0.102785679;0.418013256;0.371811034
Vulpes_velox;extant;12.41652308;0.678806757;0.750106927;0.096550857;0.394028551;0.370190206
Vulpes_vulpes;extant;14.35489433;0.67798264;0.775808445;0.099552914;0.395416508;0.403318437
Xenocyon_lycaonoides;extinct;26.18183008;0.697868784;0.714715498;NA;0.391885927;NA
Xenocyon_texanus;extinct;28.31391996;0.718113208;0.649168448;NA;0.347948266;0.481976744
