occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,plant_organ,plant_organ2,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,cc,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localbedunit,localorder,regionalsection,regionalbed,regionalbedunit,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,environment_basis,motility,motility_basis,life_habit,life_habit_basis,vision,vision_basis,diet,diet_basis,reproduction,reproduction_basis,ontogeny,ontogeny_basis,ecospace_comments,composition,architecture,thickness,reinforcement,taphonomy_basis,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,primary_name,primary_reso,subgenus_name,subgenus_reso,species_name,species_reso,image_no,formation,stratgroup,member,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,time_bins,time_contain,time_major,time_buffer,time_overlap,research_group,primary_reference,authorizer_no,enterer_no,modifier_no,authorizer,enterer,modifier,created,modified
185368,occ,5714,,18192,Paratomarctus temerarius,,species,44882,Barstovian,,16.3,12.5,Alroy,2002,6294,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Paratomarctus,41233,,,,,,-101.099998,40.200001,,Hazard Homestead Quarry,,UNSM Hk-104,US,Nebraska,Hitchcock,based on political unit,1,small collection,Driftwood Creek,gplates,101,mid,-94.66,43.47,scotese,101,mid,-97.89,40.78,seton,101,mid,-97.26,40.21,US,,,,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,,,UNSM,,,,,,,,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Paratomarctus,41233,,Paratomarctus,,,,temerarius,,378,,,,,,,,,,,,,,,Langhian,-,Langhian,"Burdigalian, Langhian, Serravallian","Burdigalian, Langhian, Serravallian",vertebrate,J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.,4,4,0,J. Alroy,J. Alroy,,6/3/02 0:35,6/3/02 2:35
185369,occ,,,18192,Aelurodon ferox,,species,43762,Barstovian,,16.3,12.5,Voorhies,1990,3510,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Aelurodon,41190,,,,,,-101.099998,40.200001,"confirmed by Wang et al. 1999, who also list older AMNH specimens of A. asthenostylus, Epicyon saevus, and E. haydeni from ""Driftwood Creek"" and a new specimen of A. taxoides from ""Driftwood Creek""",Hazard Homestead Quarry,,UNSM Hk-104,US,Nebraska,Hitchcock,based on political unit,1,small collection,Driftwood Creek,gplates,101,mid,-94.66,43.47,scotese,101,mid,-97.89,40.78,seton,101,mid,-97.26,40.21,US,,,,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,,,UNSM,,,,,,,,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Aelurodon,41190,,Aelurodon,,,,ferox,,378,,,,,,,,,,,,,,,Langhian,-,Langhian,"Burdigalian, Langhian, Serravallian","Burdigalian, Langhian, Serravallian",vertebrate,"M. R. Voorhies. 1990. Vertebrate biostratigraphy of the Ogallala Group in Nebraska.  In T. C. Gustavson (ed.), Geologic Framework and Regional Hydrology: Upper Cenozoic Blackwater Draw and Ogallala Formations, Great Plains",4,4,4,J. Alroy,J. Alroy,J. Alroy,5/15/02 0:00,9/30/09 15:09
185370,occ,5715,,18192,Carpocyon compressus,,species,43761,Barstovian,,16.3,12.5,Alroy,2002,6294,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Carpocyon,41199,,,,,,-101.099998,40.200001,,Hazard Homestead Quarry,,UNSM Hk-104,US,Nebraska,Hitchcock,based on political unit,1,small collection,Driftwood Creek,gplates,101,mid,-94.66,43.47,scotese,101,mid,-97.89,40.78,seton,101,mid,-97.26,40.21,US,,,,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,,,UNSM,,,,,,,,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Carpocyon,41199,,Carpocyon,,,,compressus,,378,,,,,,,,,,,,,,,Langhian,-,Langhian,"Burdigalian, Langhian, Serravallian","Burdigalian, Langhian, Serravallian",vertebrate,J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.,4,4,0,J. Alroy,J. Alroy,,6/3/02 0:35,6/3/02 2:35
185371,occ,,,18192,Leptocyon vafer,,species,44886,Barstovian,,16.3,12.5,Voorhies,1990,3510,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Leptocyon,41218,,,,,,-101.099998,40.200001,,Hazard Homestead Quarry,,UNSM Hk-104,US,Nebraska,Hitchcock,based on political unit,1,small collection,Driftwood Creek,gplates,101,mid,-94.66,43.47,scotese,101,mid,-97.89,40.78,seton,101,mid,-97.26,40.21,US,,,,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,,,UNSM,,,,,,,,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Leptocyon,41218,,Leptocyon,,,,vafer,,1864,,,,,,,,,,,,,,,Langhian,-,Langhian,"Burdigalian, Langhian, Serravallian","Burdigalian, Langhian, Serravallian",vertebrate,"M. R. Voorhies. 1990. Vertebrate biostratigraphy of the Ogallala Group in Nebraska.  In T. C. Gustavson (ed.), Geologic Framework and Regional Hydrology: Upper Cenozoic Blackwater Draw and Ogallala Formations, Great Plains",4,4,4,J. Alroy,J. Alroy,J. Alroy,5/15/02 0:00,9/30/09 15:09
185396,occ,,,18193,Borophagus pugnator,,species,50648,Hemphillian,,9.4,4.7,Wang et al.,1999,3558,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Borophagus,41196,,,,,,-102.400002,41.400002,,Head of Blue Creek,,,US,Nebraska,Garden,based on political unit,1,,,gplates,101,mid,-96.39,44.55,scotese,101,mid,-99.38,41.96,seton,101,mid,-98.76,41.44,US,,,Ogallala,,group of beds,,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,some genera,,,,,,,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,carnivore,Borophagus,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Borophagus,41196,,Borophagus,,,,pugnator,,378,,Ogallala,,,not reported,,,,,,,,,,-,-,-,"Tortonian, Messinian, Zanclean","Tortonian, Messinian, Zanclean",vertebrate,"X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392",4,4,0,J. Alroy,J. Alroy,,5/15/02 0:00,5/15/02 2:00
185402,occ,,,18196,Epicyon saevus,,species,44881,Clarendonian,,12.5,9.4,Wang et al.,1999,3558,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Epicyon,41212,,,,,,-100.800003,42.799999,,Head of Pole Creek,,,US,Nebraska,Cherry,based on political unit,1,,,gplates,101,mid,-95.57,45.5,scotese,101,mid,-98.16,43.26,seton,101,mid,-97.66,42.74,US,,Ash Hollow,,Cap Rock,,,ValAH,5,,bottom to top,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,,some genera,,,,,,,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Epicyon,41212,,Epicyon,,,,saevus,,378,Ash Hollow,,Cap Rock,,,,,,,,,,,,Tortonian,-,Tortonian,"Serravallian, Tortonian","Serravallian, Tortonian",vertebrate,"X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392",4,4,0,J. Alroy,J. Alroy,,5/15/02 0:00,5/15/02 2:00
185403,occ,5728,,18197,Epicyon,,genus,41212,Clarendonian,,12.5,9.4,Alroy,2002,6294,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Epicyon,41212,,,,,,-103.800003,42.400002,,Hesperopithecus Site,,Quarry C,US,Nebraska,Sioux,based on political unit,1,small collection,Olcott Hill,gplates,101,mid,-98.74,45.23,scotese,101,mid,-101.19,42.89,seton,101,mid,-100.68,42.44,US,,Snake Creek,,Laucomer,,,Snake,7,,bottom to top,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,biostratigraphic,,,,,,,,,,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Epicyon,41212,,Epicyon,,,,sp.,,378,Snake Creek,,Laucomer,,,,,,,,,,,,Tortonian,-,Tortonian,"Serravallian, Tortonian","Serravallian, Tortonian",vertebrate,J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.,4,4,0,J. Alroy,J. Alroy,,6/3/02 0:35,6/3/02 2:35
185417,occ,5735,,18198,Epicyon haydeni,,species,44847,Hemphillian,,9.4,4.7,Alroy,2002,6294,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Epicyon,41212,,,,,,-100.099998,36.099998,,Higgins Quarries,,Sebits Ranch; Sibbet Ranch; Reed and Longnecker Locs. 124-A and 124-B4,US,Texas,Lipscomb,based on political unit,1,local area,two quarries 4 km south-southeast of Higgins,gplates,101,mid,-97.02,37.94,scotese,101,mid,-98.41,36.41,seton,101,mid,-98.27,36.01,US,,,,,group of beds,,Hemph,4,,bottom to top,,,,,,"""gray, unconsolidated-to-cemented fluvial sand""",sandstone,gray,poorly lithified,,,,,,,,fluvial indet.,,,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,1.8 m below prominent mortar bed (see Arnett)\nall snakes are from Higgins Quarry B,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Epicyon,41212,,Epicyon,,,,haydeni,,378,,,,"""gray, unconsolidated-to-cemented fluvial sand""",sandstone,gray,poorly lithified,,,,,,,,-,-,-,"Tortonian, Messinian, Zanclean","Tortonian, Messinian, Zanclean",vertebrate,J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.,4,4,0,J. Alroy,J. Alroy,,6/3/02 0:35,6/3/02 2:35
185418,occ,5736,,18198,Borophagus secundus,,species,44603,Hemphillian,,9.4,4.7,Alroy,2002,6294,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Borophagus,41196,,,,,,-100.099998,36.099998,,Higgins Quarries,,Sebits Ranch; Sibbet Ranch; Reed and Longnecker Locs. 124-A and 124-B4,US,Texas,Lipscomb,based on political unit,1,local area,two quarries 4 km south-southeast of Higgins,gplates,101,mid,-97.02,37.94,scotese,101,mid,-98.41,36.41,seton,101,mid,-98.27,36.01,US,,,,,group of beds,,Hemph,4,,bottom to top,,,,,,"""gray, unconsolidated-to-cemented fluvial sand""",sandstone,gray,poorly lithified,,,,,,,,fluvial indet.,,,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,1.8 m below prominent mortar bed (see Arnett)\nall snakes are from Higgins Quarry B,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,carnivore,Borophagus,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Borophagus,41196,,Borophagus,,,,secundus,cf.,378,,,,"""gray, unconsolidated-to-cemented fluvial sand""",sandstone,gray,poorly lithified,,,,,,,,-,-,-,"Tortonian, Messinian, Zanclean","Tortonian, Messinian, Zanclean",vertebrate,J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.,4,4,0,J. Alroy,J. Alroy,,6/3/02 0:35,6/3/02 2:35
185435,occ,,,18199,Aelurodon,,genus,41190,Barstovian,,16.3,12.5,Voorhies,1990,3510,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Aelurodon,41190,,,,1,specimens,-99.699997,42.799999,"close to A. ""wheelerianus""",High in the Saddle,,UNSM Kp-110,US,Nebraska,Keya Paha,based on political unit,1,small collection,,gplates,101,mid,-92.91,45.99,scotese,101,mid,-96.41,43.36,seton,101,mid,-95.68,42.75,US,,Valentine,Ogallala,lower,member,,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,UNSM,,10 specimens,,,,,NISP 10,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Aelurodon,41190,,Aelurodon,cf.,,,sp.,,378,Valentine,Ogallala,lower,,not reported,,,,,,,,,,Langhian,-,Langhian,"Burdigalian, Langhian, Serravallian","Burdigalian, Langhian, Serravallian",vertebrate,"M. R. Voorhies. 1990. Vertebrate biostratigraphy of the Ogallala Group in Nebraska.  In T. C. Gustavson (ed.), Geologic Framework and Regional Hydrology: Upper Cenozoic Blackwater Draw and Ogallala Formations, Great Plains",4,4,0,J. Alroy,J. Alroy,,5/15/02 0:00,5/15/02 2:00
185442,occ,,,18200,Cynarctus crucidens,,species,45442,Clarendonian,,12.5,9.4,Wang et al.,1999,3558,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Cynarctus,41206,,,,,,-100.699997,43.200001,,Hollow Horn Bear Quarry,,,US,South Dakota,Todd,based on political unit,1,small collection,,gplates,101,mid,-95.43,45.89,scotese,101,mid,-98.05,43.66,seton,101,mid,-97.53,43.14,US,,Ash Hollow,,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,taxonomic,,,some genera,,,,,,equids: Hulbert 1989 pers. commun.915 F:AM specimens: Skinner and Johnson 1984,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Cynarctus,41206,,Cynarctus,,,,crucidens,,378,Ash Hollow,,,,,,,,,,,,,,Tortonian,-,Tortonian,"Serravallian, Tortonian","Serravallian, Tortonian",vertebrate,"X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392",4,4,4,J. Alroy,J. Alroy,J. Alroy,5/15/02 0:00,12/28/09 10:41
185443,occ,,,18200,Aelurodon taxoides,,species,43778,Clarendonian,,12.5,9.4,Wang et al.,1999,3558,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Aelurodon,41190,,,,,,-100.699997,43.200001,,Hollow Horn Bear Quarry,,,US,South Dakota,Todd,based on political unit,1,small collection,,gplates,101,mid,-95.43,45.89,scotese,101,mid,-98.05,43.66,seton,101,mid,-97.53,43.14,US,,Ash Hollow,,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,taxonomic,,,some genera,,,,,,equids: Hulbert 1989 pers. commun.915 F:AM specimens: Skinner and Johnson 1984,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Aelurodon,41190,,Aelurodon,,,,taxoides,,378,Ash Hollow,,,,,,,,,,,,,,Tortonian,-,Tortonian,"Serravallian, Tortonian","Serravallian, Tortonian",vertebrate,"X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392",4,4,4,J. Alroy,J. Alroy,J. Alroy,5/15/02 0:00,12/28/09 10:41
185444,occ,,,18200,Paratomarctus euthos,,species,45458,Clarendonian,,12.5,9.4,Wang et al.,1999,3558,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Paratomarctus,41233,,,,,,-100.699997,43.200001,,Hollow Horn Bear Quarry,,,US,South Dakota,Todd,based on political unit,1,small collection,,gplates,101,mid,-95.43,45.89,scotese,101,mid,-98.05,43.66,seton,101,mid,-97.53,43.14,US,,Ash Hollow,,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,taxonomic,,,some genera,,,,,,equids: Hulbert 1989 pers. commun.915 F:AM specimens: Skinner and Johnson 1984,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Paratomarctus,41233,,Paratomarctus,,,,euthos,,378,Ash Hollow,,,,,,,,,,,,,,Tortonian,-,Tortonian,"Serravallian, Tortonian","Serravallian, Tortonian",vertebrate,"X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392",4,4,4,J. Alroy,J. Alroy,J. Alroy,5/15/02 0:00,12/28/09 10:41
185445,occ,,,18200,Carpocyon robustus,,species,52388,Clarendonian,,12.5,9.4,Wang et al.,1999,3558,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Carpocyon,41199,,,,,,-100.699997,43.200001,,Hollow Horn Bear Quarry,,,US,South Dakota,Todd,based on political unit,1,small collection,,gplates,101,mid,-95.43,45.89,scotese,101,mid,-98.05,43.66,seton,101,mid,-97.53,43.14,US,,Ash Hollow,,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,taxonomic,,,some genera,,,,,,equids: Hulbert 1989 pers. commun.915 F:AM specimens: Skinner and Johnson 1984,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Carpocyon,41199,,Carpocyon,,,,robustus,,378,Ash Hollow,,,,,,,,,,,,,,Tortonian,-,Tortonian,"Serravallian, Tortonian","Serravallian, Tortonian",vertebrate,"X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392",4,4,4,J. Alroy,J. Alroy,J. Alroy,5/15/02 0:00,12/28/09 10:41
185446,occ,,,18200,Epicyon saevus,,species,44881,Clarendonian,,12.5,9.4,Munthe,1989,6266,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Epicyon,41212,,,,,,-100.699997,43.200001,confirmed by Wang et al. 1999,Hollow Horn Bear Quarry,,,US,South Dakota,Todd,based on political unit,1,small collection,,gplates,101,mid,-95.43,45.89,scotese,101,mid,-98.05,43.66,seton,101,mid,-97.53,43.14,US,,Ash Hollow,,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,taxonomic,,,some genera,,,,,,equids: Hulbert 1989 pers. commun.915 F:AM specimens: Skinner and Johnson 1984,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Epicyon,41212,,Epicyon,,,,saevus,,378,Ash Hollow,,,,,,,,,,,,,,Tortonian,-,Tortonian,"Serravallian, Tortonian","Serravallian, Tortonian",vertebrate,"K. Munthe. 1989. The skeleton of Borophaginae (Carnivora, Canidae): Morphology and function. University of California Publications in Geological Sciences 133:1-115",4,4,4,J. Alroy,J. Alroy,J. Alroy,5/15/02 0:00,12/28/09 10:41
185469,occ,,,18201,Canis,,genus,41198,Hemphillian,,9.4,4.7,Voorhies,1990,3510,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Canis,41198,,,,,,-98.800003,42.700001,,Honey Creek,,UNSM Ht-103,US,Nebraska,Holt,based on political unit,1,small collection,,gplates,101,mid,-95.36,44.5,scotese,101,mid,-97.03,43,seton,101,mid,-96.73,42.58,US,,,,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,UNSM,,,,,,,,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Canis,41198,,Canis,"""",,,sp.,,1864,,,,,,,,,,,,,,,-,-,-,"Tortonian, Messinian, Zanclean","Tortonian, Messinian, Zanclean",vertebrate,"M. R. Voorhies. 1990. Vertebrate biostratigraphy of the Ogallala Group in Nebraska.  In T. C. Gustavson (ed.), Geologic Framework and Regional Hydrology: Upper Cenozoic Blackwater Draw and Ogallala Formations, Great Plains",4,4,0,J. Alroy,J. Alroy,,5/15/02 0:00,5/15/02 2:00
185479,occ,,,18202,Epicyon saevus,,species,44881,Clarendonian,,12.5,9.4,Wang et al.,1999,3558,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Epicyon,41212,,,,,,-100.800003,42.799999,,Horn Quarry,,,US,Nebraska,Cherry,based on political unit,1,small collection,,gplates,101,mid,-95.57,45.5,scotese,101,mid,-98.16,43.26,seton,101,mid,-97.66,42.74,US,,Ash Hollow,,Merritt Dam,,,ValAH,6,,bottom to top,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,,some genera,,,,,,see Skinner and Johnson 1984 p. 309,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Epicyon,41212,,Epicyon,,,,saevus,,378,Ash Hollow,,Merritt Dam,,,,,,,,,,,,Tortonian,-,Tortonian,"Serravallian, Tortonian","Serravallian, Tortonian",vertebrate,"X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392",4,4,0,J. Alroy,J. Alroy,,5/15/02 0:00,5/15/02 2:00
185490,occ,,,18203,Microtomarctus conferta,,species,52175,Barstovian,,16.3,12.5,Wang et al.,1999,3558,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Microtomarctus,41222,,,,,,-104.199997,40.799999,"Horse Quarry; also at ""Martin Canyon... Cedar Creek, horizon E"" (said to be the same age and in the same county)",Horse and Mastodon Quarry,,,US,Colorado,Weld,based on political unit,1,small collection,Pawnee Buttes,gplates,101,mid,-97.86,44.24,scotese,101,mid,-101,41.42,seton,101,mid,-100.32,40.93,US,,Pawnee Creek,,,,,PwnCr,4,,bottom to top,,,,,"upper part of formation sensu stricto, and there is a ""radioisotopic"" (Ar-Ar?) date of 14.4 Ma for an ash in the middle level of the formation: Woodburne 1996a\nthis date apparently is an average of the dates of 14.5 +/- 0.09 and 14.3 +/- 0.02 Ma (Ar/Ar) given by Dold and Prothero 2003 for the ""middle part of the section""",,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,biostratigraphic,,,,,,,,,"possibly relevant: ""Dyseohyus stirtoni"" Woodburne 1969: type, ""2 miles northwest of Mastodon Quarry... 8 miles east and 4 miles south of Grover, Weld County""\n""Barbouromeryx (Bouromeryx) pawniensis"" Frick 1937: type, ""two miles W. of Mastodon Quarry""; also from ""Section 8""",terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Microtomarctus,41222,,Microtomarctus,,,,conferta,,378,Pawnee Creek,,,,,,,,,,,,,,Langhian,-,Langhian,"Burdigalian, Langhian, Serravallian","Burdigalian, Langhian, Serravallian",vertebrate,"X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392",4,4,0,J. Alroy,J. Alroy,,5/15/02 0:00,5/15/02 2:00
