"species","Data_type","Size_Est"
"Urocyon_minicephalus","Inferred_teeth",0.481
"Urocyon_progressus","Inferred_Phylogeny",0.612
"Urocyon_webbi","Inferred_teeth",0.606
"Vulpes_kernensis","Inferred_teeth",0.598
"Vulpes_lagopus","Measured",0.687
"Vulpes_macrotis","Measured",0.312
"Vulpes_stenognathus","Inferred_teeth",0.857
"Vulpes_velox","Measured",0.342
"Vulpes_vulpes","Measured",0.726
"Xenocyon_lycaonoides","Inferred_teeth",1.422
"Xenocyon_texanus","Inferred_teeth",1.499
